n,dist,rho,sk,alpha_F
250,beta,-1,1,46.77626627378514
250,beta,-1,1,31.916861436537836
250,beta,-1,1,41.549183206904885
250,beta,-1,1,35.052161223656874
250,beta,-1,1,47.8644077934841
250,beta,-1,1,40.745517728776875
250,beta,-1,1,58.58923693747042
250,beta,-1,1,39.64959398395543
250,beta,-1,1,37.26574838439386
250,beta,-1,1,49.58880573310017
250,beta,-1,1,64.53855579255404
250,beta,-1,1,42.800587116471526
250,beta,-1,1,33.33181402401944
250,beta,-1,1,38.013961468082144
250,beta,-1,1,37.6329881563325
250,beta,-1,1,65.26184158256055
250,beta,-1,1,41.928281111408175
250,beta,-1,1,39.76840583955105
250,beta,-1,1,44.94490655044032
250,beta,-1,1,37.47833210446041
250,beta,-1,1,37.07640615214689
250,beta,-1,1,37.36047335815586
250,beta,-1,1,36.113661133807064
250,beta,-1,1,34.64780423179689
250,beta,-1,1,43.9622837468396
250,beta,-1,1,38.74668055417632
250,beta,-1,1,37.95712480153586
250,beta,-1,1,36.93008349737241
250,beta,-1,1,41.56974310156697
250,beta,-1,1,47.33313575411134
250,beta,-1,1,37.27050033040989
250,beta,-1,1,40.294031411095006
250,beta,-1,1,43.24271727638567
250,beta,-1,1,32.10430156848787
250,beta,-1,1,45.82632531081267
250,beta,-1,1,53.40275066328022
250,beta,-1,1,39.361564694730845
250,beta,-1,1,47.33992894355345
250,beta,-1,1,40.2440918388738
250,beta,-1,1,38.69262723637602
250,beta,-1,1,31.613594006843872
250,beta,-1,1,54.01739373557564
250,beta,-1,1,37.063051480238194
250,beta,-1,1,51.013965018543345
250,beta,-1,1,36.07710698445962
250,beta,-1,1,44.40419911484298
250,beta,-1,1,33.3090897086118
250,beta,-1,1,51.82125865909234
250,beta,-1,1,41.706243991130535
250,beta,-1,1,40.71649837130367
250,beta,-1,1,44.26194223594541
250,beta,-1,1,51.93047357626139
250,beta,-1,1,37.075062263982055
250,beta,-1,1,36.43692288457773
250,beta,-1,1,48.32614020087068
250,beta,-1,1,35.048695284309744
250,beta,-1,1,34.510130767249564
250,beta,-1,1,48.960509412953066
250,beta,-1,1,38.49904051120868
250,beta,-1,1,42.25812204380141
250,beta,-1,1,39.89124053362826
250,beta,-1,1,40.36229274683887
250,beta,-1,1,42.224288655047665
250,beta,-1,1,33.03985632161524
250,beta,-1,1,53.78608420632043
250,beta,-1,1,43.961608701812594
250,beta,-1,1,40.98568391072703
250,beta,-1,1,41.25237476923132
250,beta,-1,1,48.14681279564422
250,beta,-1,1,40.383877899228345
250,beta,-1,1,41.38294304831589
250,beta,-1,1,43.4061272405317
250,beta,-1,1,42.051271242578174
250,beta,-1,1,30.47972827478625
250,beta,-1,1,55.486359725204046
250,beta,-1,1,41.084357222657815
250,beta,-1,1,57.9566427159422
250,beta,-1,1,38.741794385954904
250,beta,-1,1,41.11629779552063
250,beta,-1,1,47.352102258118
250,beta,-1,1,43.4257853568487
250,beta,-1,1,48.25171600847791
250,beta,-1,1,40.289184434676926
250,beta,-1,1,44.847295728445474
250,beta,-1,1,37.38538594591228
250,beta,-1,1,50.510707988206825
250,beta,-1,1,40.806900997493955
250,beta,-1,1,55.28899113440712
250,beta,-1,1,43.04284102772525
250,beta,-1,1,45.93433292430631
250,beta,-1,1,39.44962262360061
250,beta,-1,1,32.46575940688779
250,beta,-1,1,43.07976005033648
250,beta,-1,1,38.284988361988844
250,beta,-1,1,37.74491020433197
250,beta,-1,1,44.463482612286995
250,beta,-1,1,41.469349189266076
250,beta,-1,1,34.04657196814728
250,beta,-1,1,38.124285088621015
250,beta,-1,1,59.2467214586404
250,beta,-1,1,41.28382366833718
250,beta,-1,1,51.1172433991917
250,beta,-1,1,41.97420746673772
250,beta,-1,1,43.73973079689024
250,beta,-1,1,40.83801230135097
250,beta,-1,1,38.59534518444155
250,beta,-1,1,46.00178518057949
250,beta,-1,1,41.65735735364756
250,beta,-1,1,35.59697116848763
250,beta,-1,1,52.603663922175485
250,beta,-1,1,47.92171611475094
250,beta,-1,1,40.74078620545235
250,beta,-1,1,45.94391939162678
250,beta,-1,1,40.34506188170332
250,beta,-1,1,41.938764542372084
250,beta,-1,1,49.542021093696746
250,beta,-1,1,50.916865201018226
250,beta,-1,1,43.39593252803809
250,beta,-1,1,33.40346651896232
250,beta,-1,1,49.26070465063812
250,beta,-1,1,38.54171555924809
250,beta,-1,1,44.79581106472817
250,beta,-1,1,31.34728957619257
250,beta,-1,1,38.86756037288558
250,beta,-1,1,45.249079812150576
250,beta,-1,1,40.11405346597051
250,beta,-1,1,43.26508081830861
250,beta,-1,1,42.50662604995808
250,beta,-1,1,41.88967659584603
250,beta,-1,1,38.28847102780652
250,beta,-1,1,42.830799516643516
250,beta,-1,1,38.67929497573036
250,beta,-1,1,54.84686851732459
250,beta,-1,1,38.13081433503475
250,beta,-1,1,39.67490107098591
250,beta,-1,1,40.18419852992059
250,beta,-1,1,52.41855122113689
250,beta,-1,1,29.94857741652642
250,beta,-1,1,39.092395317535875
250,beta,-1,1,30.965913496526518
250,beta,-1,1,42.81231384262707
250,beta,-1,1,44.644054506595225
250,beta,-1,1,34.000679167904735
250,beta,-1,1,40.06978680929684
250,beta,-1,1,42.3068324437044
