n,dist,rho,sk,alpha_F
250,discrete,1,1,46.29925535447839
250,discrete,1,1,48.54353578694447
250,discrete,1,1,43.76651809167063
250,discrete,1,1,49.08735294559941
250,discrete,1,1,54.91965132244118
250,discrete,1,1,55.51665040878522
250,discrete,1,1,54.61944215616762
250,discrete,1,1,48.90208399825919
250,discrete,1,1,46.49014109172959
250,discrete,1,1,53.298204369692485
250,discrete,1,1,53.45740181704237
250,discrete,1,1,52.151826648869275
250,discrete,1,1,54.44023779301957
250,discrete,1,1,46.63575167379686
250,discrete,1,1,55.05213098072084
250,discrete,1,1,48.23246055180085
250,discrete,1,1,46.139831004500444
250,discrete,1,1,48.33251300237213
250,discrete,1,1,53.74136362610285
250,discrete,1,1,53.75220184565824
250,discrete,1,1,55.65719024651482
250,discrete,1,1,57.551224180113216
250,discrete,1,1,48.20783966839029
250,discrete,1,1,50.01442479110047
250,discrete,1,1,50.400528731398296
250,discrete,1,1,46.05450692799053
250,discrete,1,1,59.30963093962343
250,discrete,1,1,56.264161466954356
250,discrete,1,1,64.83729217866082
250,discrete,1,1,49.581791848390544
250,discrete,1,1,56.27444658442909
250,discrete,1,1,47.35478813326344
250,discrete,1,1,47.45312317067892
250,discrete,1,1,50.820612245427185
250,discrete,1,1,53.94750593372088
250,discrete,1,1,48.809641075811975
250,discrete,1,1,51.7614069986596
250,discrete,1,1,48.84973219141466
250,discrete,1,1,58.57684268555845
250,discrete,1,1,54.4498667162676
250,discrete,1,1,63.838932170576086
250,discrete,1,1,44.715308082300915
250,discrete,1,1,61.03174950642982
250,discrete,1,1,51.2862153979087
250,discrete,1,1,54.93542724292168
250,discrete,1,1,45.727872857469315
250,discrete,1,1,53.57615919939328
250,discrete,1,1,55.145868955184696
250,discrete,1,1,53.42875806991992
250,discrete,1,1,50.89507090838944
250,discrete,1,1,49.962388017303894
250,discrete,1,1,53.922044343267856
250,discrete,1,1,52.66400794811788
250,discrete,1,1,48.52904633846187
250,discrete,1,1,45.51656846040262
250,discrete,1,1,63.81387565598901
250,discrete,1,1,54.39280128425845
250,discrete,1,1,61.77804118534834
250,discrete,1,1,47.9730816220818
250,discrete,1,1,62.25963292715282
250,discrete,1,1,48.36582591508146
250,discrete,1,1,53.61860979179682
250,discrete,1,1,51.02154386120464
250,discrete,1,1,55.198861712506584
250,discrete,1,1,51.373173883712774
250,discrete,1,1,52.525354370461486
250,discrete,1,1,48.82284605076608
250,discrete,1,1,60.84911578518018
250,discrete,1,1,52.246315693788354
250,discrete,1,1,56.702048964494594
250,discrete,1,1,56.879677220160424
250,discrete,1,1,47.463410763544665
250,discrete,1,1,48.66016367824319
250,discrete,1,1,48.94711913511679
250,discrete,1,1,49.27333467631469
250,discrete,1,1,73.0804755707809
250,discrete,1,1,53.72555520189311
250,discrete,1,1,54.1690081596888
250,discrete,1,1,45.943083274490455
250,discrete,1,1,52.894301132692
250,discrete,1,1,51.92429219806441
250,discrete,1,1,52.48611442014841
250,discrete,1,1,62.785094395362066
250,discrete,1,1,49.03078130971759
250,discrete,1,1,46.224347139578185
250,discrete,1,1,52.5191267810362
250,discrete,1,1,53.945926404731956
250,discrete,1,1,47.17376014716879
250,discrete,1,1,51.16254295736431
250,discrete,1,1,56.269564788386184
250,discrete,1,1,53.23803766267643
250,discrete,1,1,48.800516852902554
250,discrete,1,1,52.116982806316145
250,discrete,1,1,48.540795828324406
250,discrete,1,1,48.83831636622985
250,discrete,1,1,56.844776839950775
250,discrete,1,1,51.71305082252251
250,discrete,1,1,53.228320905422784
250,discrete,1,1,44.28790152185135
250,discrete,1,1,50.872039643213036
250,discrete,1,1,50.86728891640809
250,discrete,1,1,51.90773866676932
250,discrete,1,1,49.334642890423915
250,discrete,1,1,48.52906193421607
250,discrete,1,1,52.83247611989012
250,discrete,1,1,53.120035751047716
250,discrete,1,1,53.6578310670807
250,discrete,1,1,57.696357890965615
250,discrete,1,1,58.31859586606109
250,discrete,1,1,51.615358557803376
250,discrete,1,1,48.32905128148198
250,discrete,1,1,46.73119291100728
250,discrete,1,1,52.19167161618382
250,discrete,1,1,52.19064517858026
250,discrete,1,1,47.6906942183318
250,discrete,1,1,50.47881204298734
250,discrete,1,1,50.844813101019426
250,discrete,1,1,47.551685196792484
250,discrete,1,1,56.12304778747732
250,discrete,1,1,46.054925301548266
250,discrete,1,1,52.222472388134356
250,discrete,1,1,49.79839138725529
250,discrete,1,1,56.94718655502825
250,discrete,1,1,47.88294231734423
250,discrete,1,1,54.61705330161591
250,discrete,1,1,56.595018564237016
250,discrete,1,1,51.54397738250761
250,discrete,1,1,51.150127310602016
250,discrete,1,1,48.00194143831435
250,discrete,1,1,54.831275376307694
250,discrete,1,1,50.95472675859675
250,discrete,1,1,50.40569265600624
250,discrete,1,1,58.98588353746242
250,discrete,1,1,54.825894192253905
250,discrete,1,1,54.099936400106834
250,discrete,1,1,52.08904753221821
250,discrete,1,1,52.13079691373042
250,discrete,1,1,49.50536797654657
250,discrete,1,1,63.53423695743944
250,discrete,1,1,47.43300788319994
250,discrete,1,1,70.67593456441841
250,discrete,1,1,48.10024383112706
250,discrete,1,1,50.77118087113277
250,discrete,1,1,52.84872706565624
250,discrete,1,1,50.79491578963035
250,discrete,1,1,49.490981301234015
250,discrete,1,1,54.98731804122225
250,discrete,1,1,48.70680668275811
250,discrete,1,1,53.42688959473866
250,discrete,1,1,57.4870283340554
250,discrete,1,1,46.696147226095405
250,discrete,1,1,59.09239403350594
250,discrete,1,1,62.81221706899458
250,discrete,1,1,58.92355661141199
250,discrete,1,1,47.497516032696474
250,discrete,1,1,54.05506150102576
250,discrete,1,1,54.94592568739322
250,discrete,1,1,54.62629061543947
250,discrete,1,1,50.81871855621592
250,discrete,1,1,50.517495068603836
250,discrete,1,1,48.41977581423122
250,discrete,1,1,55.82693464438615
250,discrete,1,1,53.788871927918294
250,discrete,1,1,50.70772028161467
250,discrete,1,1,61.26069493640948
250,discrete,1,1,50.901396567339916
250,discrete,1,1,61.66212078807235
250,discrete,1,1,50.954553127444456
250,discrete,1,1,49.30446604246423
250,discrete,1,1,47.02175672920298
250,discrete,1,1,50.84488750321062
250,discrete,1,1,58.47439043355204
250,discrete,1,1,57.28686560867883
250,discrete,1,1,55.36540147116785
250,discrete,1,1,51.249234266487754
250,discrete,1,1,42.24763808521606
250,discrete,1,1,48.631401133911076
250,discrete,1,1,53.69097113472452
250,discrete,1,1,76.33723326788669
250,discrete,1,1,52.27240872322748
250,discrete,1,1,52.532830612308224
250,discrete,1,1,60.92948472585755
250,discrete,1,1,52.008245834131536
250,discrete,1,1,60.76534522463317
250,discrete,1,1,58.28284084527851
250,discrete,1,1,61.81796024081095
250,discrete,1,1,44.721410890587606
250,discrete,1,1,66.1015361151235
250,discrete,1,1,43.87666951089227
250,discrete,1,1,50.89497448169151
250,discrete,1,1,59.83874365650263
250,discrete,1,1,48.6464321897876
250,discrete,1,1,63.387426607107074
250,discrete,1,1,57.499098759238436
250,discrete,1,1,51.06926249982837
250,discrete,1,1,53.93796370596789
250,discrete,1,1,52.61505875920238
250,discrete,1,1,52.09968059922205
250,discrete,1,1,59.612510022829525
250,discrete,1,1,44.72028867743372
250,discrete,1,1,47.53362289195495
250,discrete,1,1,48.11789194128632
250,discrete,1,1,48.53191831376003
250,discrete,1,1,57.588159869585006
250,discrete,1,1,50.865322700204985
250,discrete,1,1,56.89376200345202
250,discrete,1,1,50.87374473130397
250,discrete,1,1,47.843918304726714
250,discrete,1,1,42.758696502778456
250,discrete,1,1,58.76569338038577
250,discrete,1,1,48.04741446671039
250,discrete,1,1,51.92967628685074
250,discrete,1,1,59.369521511526486
250,discrete,1,1,53.027845146848705
250,discrete,1,1,64.78345980155272
250,discrete,1,1,53.70916891211976
250,discrete,1,1,54.56685753117832
250,discrete,1,1,47.08790802508733
250,discrete,1,1,44.722921935095314
250,discrete,1,1,56.51644464395293
250,discrete,1,1,54.85475581470631
250,discrete,1,1,68.16005834765583
250,discrete,1,1,51.560543123976764
250,discrete,1,1,44.10741515350582
250,discrete,1,1,45.70668621987831
250,discrete,1,1,43.19691330855754
250,discrete,1,1,57.497756385966504
250,discrete,1,1,69.35758019818392
250,discrete,1,1,46.135926831803246
250,discrete,1,1,53.101229608010335
250,discrete,1,1,53.12124853642495
250,discrete,1,1,53.56783199357694
250,discrete,1,1,58.02449590494364
250,discrete,1,1,46.28891870011881
250,discrete,1,1,47.55861203874712
250,discrete,1,1,47.87013099496257
250,discrete,1,1,50.831108409005665
250,discrete,1,1,51.23119098588126
250,discrete,1,1,54.055336093737864
250,discrete,1,1,53.58535563729466
250,discrete,1,1,46.819476532484074
250,discrete,1,1,51.700028857768785
250,discrete,1,1,47.99343648657882
250,discrete,1,1,43.91522592228186
250,discrete,1,1,45.9588460987352
250,discrete,1,1,52.878984263414395
250,discrete,1,1,59.574008370448446
250,discrete,1,1,49.58522331697444
250,discrete,1,1,52.854683219705414
250,discrete,1,1,51.84161298172828
250,discrete,1,1,54.4703964406296
250,discrete,1,1,62.66560548736211
250,discrete,1,1,60.21746422835407
250,discrete,1,1,48.389850043347934
250,discrete,1,1,45.756500940463084
250,discrete,1,1,53.76690619529407
250,discrete,1,1,53.33124337763871
250,discrete,1,1,57.23171962995388
250,discrete,1,1,61.36887085367183
250,discrete,1,1,51.15424032607816
250,discrete,1,1,50.42697121548126
250,discrete,1,1,50.4297327081023
250,discrete,1,1,54.30771481804922
250,discrete,1,1,46.556805571246244
250,discrete,1,1,53.8607990982513
250,discrete,1,1,47.00858119767315
